theorem_name,node_id,parent_id,node_type,state_text,tactic,step_logprob,cumulative_logprob,depth,ppl,order_of_expansion,error_message,path_from_root,on_success_path
succ_add_succ_2,0,,InternalNode,"
⊢ ∀ (a b : Nat), a.succ + b.succ = (a + b).succ.succ",,0.0,0.0,0,,0,,[],False
succ_add_succ_2,1,0.0,ErrorNode,,theorem succ_add_succ (a b : Nat) : a.succ + b.succ = (a + b).succ.succ := by,-0.058282663745264855,-0.058282663745264855,1,1.060014581058852,1,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[0],False
succ_add_succ_2,2,0.0,ErrorNode,,theorem succ_add_succ_eq_succ_succ (a b : Nat) : a.succ + b.succ = (a + b).succ.succ := by,-0.11457729983974148,-0.11457729983974148,1,1.1213993217015734,2,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[0],False
succ_add_succ_2,3,0.0,ErrorNode,,theorem add_succ (a b : Nat) : a.succ + b.succ = (a + b).succ.succ := by,-0.13859799401513462,-0.13859799401513462,1,1.1486622380798994,3,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[0],False
succ_add_succ_2,4,0.0,ErrorNode,,```lean4,-1.031298319498698,-1.031298319498698,1,2.8047048748966543,4,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[0],False
succ_add_succ_2,5,0.0,ErrorNode,,`intro a b,-0.918461799621582,-0.918461799621582,1,2.505433565553756,5,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[0],False
succ_add_succ_3,6,,InternalNode,"
⊢ ∀ (a b : Nat), a.succ + b.succ = (a + b).succ.succ",,0.0,0.0,0,,0,,[],False
succ_add_succ_3,7,6.0,ErrorNode,,theorem succ_add_succ (a b : Nat) : a.succ + b.succ = (a + b).succ.succ := by,-0.058282663745264855,-0.058282663745264855,1,1.060014581058852,1,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[6],False
succ_add_succ_3,8,6.0,ErrorNode,,theorem succ_add_succ_eq_succ_succ {a b : Nat} : a.succ + b.succ = (a + b).succ.succ := by,-0.12868426941536568,-0.12868426941536568,1,1.1373309772975049,2,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[6],False
succ_add_succ_3,9,6.0,ErrorNode,,```lean4,-1.031298319498698,-1.031298319498698,1,2.8047048748966543,3,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[6],False
succ_add_succ_3,10,6.0,ErrorNode,,`induction a,-1.1864204406738281,-1.1864204406738281,1,3.2753359391747696,4,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[6],False
succ_add_succ_3,11,6.0,ErrorNode,,```lean,-1.4458732604980469,-1.4458732604980469,1,4.245558002590287,5,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[6],False
succ_add_succ_4,12,,InternalNode,"
⊢ ∀ (a b : Nat), a.succ + b.succ = (a + b).succ.succ",,0.0,0.0,0,,0,,[],False
succ_add_succ_4,13,12.0,ErrorNode,,theorem succ_add_succ (a b : Nat) : a.succ + b.succ = (a + b).succ.succ := by,-0.058282663745264855,-0.058282663745264855,1,1.060014581058852,1,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[12],False
succ_add_succ_4,14,12.0,ErrorNode,,theorem succ_add_succ_eq_succ_succ_add (a b : Nat) : a.succ + b.succ = (a + b).succ.succ := by,-0.10913261694785877,-0.10913261694785877,1,1.1153102495754728,2,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[12],False
succ_add_succ_4,15,12.0,ErrorNode,,"theorem step1 : ∀ (a b : Nat), a.succ + b.succ = (a + b).succ.succ := by",-0.15309504539735855,-0.15309504539735855,1,1.165435742982136,3,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[12],False
succ_add_succ_4,16,12.0,ErrorNode,,`intro a b,-0.918461799621582,-0.918461799621582,1,2.505433565553756,4,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[12],False
succ_add_succ_4,17,12.0,ErrorNode,,```lean,-1.4458732604980469,-1.4458732604980469,1,4.245558002590287,5,"{'hasSorry': False, 'hasUnsafe': False, 'parseError': ""<Pantograph>:1:0: expected '{' or tactic""}",[12],False
